# idx	t_ms	dt_ms	rects	dmg_px	dmg_pct
327	1787.38	3.17	0	0	0.00
328	1790.87	3.49	0	0	0.00
329	1794.17	3.29	0	0	0.00
330	1797.50	3.34	0	0	0.00
331	1801.08	3.57	0	0	0.00
332	1804.08	3.00	0	0	0.00
333	1807.41	3.34	0	0	0.00
334	1810.76	3.35	0	0	0.00
335	1814.31	3.55	0	0	0.00
336	1817.65	3.34	0	0	0.00
337	1820.94	3.30	0	0	0.00
338	1824.12	3.18	0	0	0.00
339	1827.37	3.25	0	0	0.00
340	1830.85	3.48	0	0	0.00
341	1834.16	3.31	0	0	0.00
342	1837.47	3.30	0	0	0.00
343	1840.78	3.31	0	0	0.00
344	1844.21	3.43	0	0	0.00
345	1847.46	3.26	0	0	0.00
346	1850.73	3.27	0	0	0.00
347	1854.06	3.33	0	0	0.00
348	1857.56	3.50	0	0	0.00
349	1860.71	3.16	0	0	0.00
350	1864.13	3.41	0	0	0.00
351	1867.39	3.27	0	0	0.00
352	1870.76	3.37	0	0	0.00
353	1874.11	3.35	0	0	0.00
354	1877.48	3.37	0	0	0.00
355	1880.71	3.23	0	0	0.00
356	1884.30	3.59	0	0	0.00
357	1887.54	3.25	0	0	0.00
358	1890.85	3.31	0	0	0.00
359	1894.08	3.23	0	0	0.00
360	1897.50	3.42	0	0	0.00
361	1900.72	3.21	0	0	0.00
362	1904.09	3.37	0	0	0.00
363	1907.41	3.32	0	0	0.00
364	1910.81	3.41	0	0	0.00
365	1914.16	3.35	0	0	0.00
366	1917.50	3.34	0	0	0.00
367	1920.70	3.20	0	0	0.00
368	1925.91	5.21	0	0	0.00
369	1927.53	1.62	0	0	0.00
370	1930.74	3.21	0	0	0.00
371	1934.08	3.35	0	0	0.00
372	1937.41	3.33	0	0	0.00
373	1940.79	3.38	0	0	0.00
374	1944.11	3.32	0	0	0.00
375	1958.39	14.28	0	0	0.00
376	1968.96	10.57	0	0	0.00
377	1970.98	2.02	0	0	0.00
378	1972.67	1.69	0	0	0.00
379	1974.47	1.80	0	0	0.00
380	1977.57	3.10	0	0	0.00
381	1980.75	3.17	0	0	0.00
382	1984.10	3.35	0	0	0.00
383	1987.39	3.29	0	0	0.00
384	1990.82	3.43	0	0	0.00
385	1994.12	3.30	0	0	0.00
386	1997.58	3.46	0	0	0.00
387	2000.75	3.17	0	0	0.00
388	2004.21	3.46	0	0	0.00
389	2007.42	3.22	0	0	0.00
390	2010.76	3.34	0	0	0.00
391	2014.39	3.62	0	0	0.00
392	2018.81	4.43	0	0	0.00
393	2021.08	2.26	0	0	0.00
394	2024.34	3.26	0	0	0.00
395	2027.88	3.54	0	0	0.00
396	2030.93	3.06	0	0	0.00
397	2034.36	3.42	0	0	0.00
398	2037.77	3.41	0	0	0.00
399	2041.26	3.49	0	0	0.00
400	2044.46	3.20	0	0	0.00
401	2047.78	3.32	0	0	0.00
402	2051.07	3.29	0	0	0.00
403	2054.49	3.42	0	0	0.00
404	2057.83	3.34	0	0	0.00
